facility,product_id,units
Midlands,1,20575
Devon,1,9326
Glasgow,1,29786
Midlands,2,15152
Devon,2,19090
Glasgow,2,28689
Midlands,3,3572
Devon,3,23482
Glasgow,3,7739
Midlands,4,25180
Devon,4,9223
Glasgow,4,13217
Midlands,5,11138
Devon,5,6258
Glasgow,5,10310
Midlands,6,28089
Devon,6,4366
Glasgow,6,15741
Midlands,7,12604
Devon,7,27145
Glasgow,7,7634
Midlands,8,13195
Devon,8,541
Glasgow,8,4929
Midlands,9,15020
Devon,9,22877
Glasgow,9,16952
Midlands,10,13230
Devon,10,25541
Glasgow,10,28379
Midlands,11,14338
Devon,11,26847
Glasgow,11,20572
Midlands,12,28049
Devon,12,4044
Glasgow,12,2081
Midlands,13,29293
Devon,13,28791
Glasgow,13,22224
Midlands,14,26442
Devon,14,28241
Glasgow,14,13462
Midlands,15,6175
Devon,15,7481
Glasgow,15,4562
Midlands,16,6484
Devon,16,23949
Glasgow,16,11528
Midlands,17,27850
Devon,17,9830
Glasgow,17,29145
Midlands,18,8506
Devon,18,21853
Glasgow,18,24579
Midlands,19,5076
Devon,19,26524
Glasgow,19,14928
Midlands,20,21950
Devon,20,19588
Glasgow,20,9922
Midlands,21,28377
Devon,21,29716
Glasgow,21,25833
Midlands,22,6987
Devon,22,3396
Glasgow,22,9190
Midlands,23,18206
Devon,23,14602
Glasgow,23,19851
Midlands,24,21618
Devon,24,13556
Glasgow,24,12747
